"PROBEID" "SYMBOL" "ENTREZID"
"ILMN_10842" "MGC23244" NA
"ILMN_10843" "APCS" "325"
"ILMN_10844" "PAH" "5053"
"ILMN_10845" "KCNA1" "3736"
"ILMN_10847" "PDZRN4" "29951"
"ILMN_10849" "LIMK1" "3984"
"ILMN_10850" "CREB3L4" "148327"
"ILMN_10851" "SS18L1" "26039"
"ILMN_10852" "APEG1" NA
"ILMN_10853" "ABHD5" "51099"
"ILMN_10855" "ATP1B1" "481"
"ILMN_10857" "GCLC" "2729"
"ILMN_10858" "PHOX2A" "401"
"ILMN_10859" "TBC1D4" "9882"
"ILMN_1086" "TRAK1" "22906"
"ILMN_10860" "RAPH1" "65059"
"ILMN_10861" "FRMPD2" "143162"
"ILMN_10862" "INPP5D" "3635"
"ILMN_10863" "MSN" "4478"
"ILMN_10864" "GABBR1" "2550"
"ILMN_10865" "ESCO1" "114799"
"ILMN_10866" "PHF6" "84295"
"ILMN_10868" "GZMK" "3003"
"ILMN_10869" "TSCOT" NA
"ILMN_10870" "CDGAP" NA
"ILMN_10871" "SYCE1" "93426"
"ILMN_10872" "BLM" "641"
"ILMN_10873" "GPR4" "2828"
"ILMN_10875" "TMEM80" "283232"
"ILMN_10876" "HOXC12" "3228"
"ILMN_10877" "RPE" "6120"
"ILMN_10878" "CEP250" "11190"
"ILMN_10879" "MYBBP1A" "10514"
"ILMN_10881" "JPH4" "84502"
"ILMN_10884" "RASSF2" "9770"
"ILMN_10886" "TSNARE1" "203062"
"ILMN_1089" "TUBA3" NA
"ILMN_10890" "PSME4" "23198"
"ILMN_10895" "PTPDC1" "138639"
"ILMN_10897" "FLJ20643" NA
"ILMN_10900" "KRTAP10-8" "386681"
"ILMN_10901" "VAMP1" "6843"
"ILMN_10903" "ALLC" "55821"
"ILMN_10908" "REL" "5966"
"ILMN_10909" "PUS3" "83480"
"ILMN_1091" "C6orf60" NA
"ILMN_10912" "THBD" "7056"
"ILMN_10916" "CRR9" NA
"ILMN_10919" "C21orf13" NA
"ILMN_1092" "LAMB3" "3914"
"ILMN_10921" "MGC39606" NA
"ILMN_10925" "C4orf9" NA
"ILMN_10926" "OR2A25" "392138"
"ILMN_10927" "CIZ1" "25792"
"ILMN_10928" "OR2G3" "81469"
